Timestamp,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z
2024-01-03 23:58:15.384,-0.432088,-0.441191,56.390795,0.09,0.04,9.64,0.062,-0.125,-0.062,5.562,8.5,-32.5
2024-01-03 23:58:15.524,-0.437915,-0.43765,61.298934,0.06,0.07,9.62,0.062,-0.25,-0.125,4.75,8.875,-31.75
2024-01-03 23:58:15.550,-0.439769,-0.430611,61.320456,0.05,0.08,9.65,0.0,0.0,-0.188,4.75,8.875,-31.75
2024-01-03 23:58:15.563,-0.438539,-0.432805,53.084949,0.08,0.07,9.66,-0.062,0.125,0.062,6.0,8.062,-31.75
2024-01-03 23:58:15.616,-0.446267,-0.434889,53.09071,0.08,0.1,9.66,0.062,0.0,0.0,6.0,8.062,-32.188
2024-01-03 23:58:15.655,-0.43416,-0.43568,55.809425,0.07,0.03,9.72,0.062,-0.062,0.062,5.188,7.75,-31.75
2024-01-03 23:58:15.668,-0.447703,-0.436894,55.831158,0.08,0.08,9.65,-0.062,0.062,0.062,5.188,7.75,-31.75
2024-01-03 23:58:15.682,-0.442168,-0.43767,52.704613,0.08,0.1,9.64,-0.125,0.062,-0.062,5.562,7.375,-31.375
2024-01-03 23:58:15.796,-0.43672,-0.426729,56.439305,0.05,0.07,9.66,-0.062,0.312,-0.062,5.562,8.5,-32.188
2024-01-03 23:58:15.809,-0.435773,-0.429265,56.431237,0.08,0.07,9.6,-0.062,0.125,-0.062,5.562,8.5,-32.188
2024-01-03 23:58:15.902,-0.431777,-0.42263,59.22965,0.05,0.06,9.66,-0.062,0.375,0.062,5.188,8.875,-33.688
2024-01-03 23:58:15.914,-0.428037,-0.425296,56.438736,0.08,0.06,9.63,0.188,0.0,0.0,5.562,8.5,-31.25
2024-01-03 23:58:15.927,-0.424448,-0.430749,53.057613,0.09,0.06,9.65,0.0,-0.062,0.0,6.0,8.062,-32.5
2024-01-03 23:58:16.056,-0.423984,-0.421074,56.436946,0.04,0.07,9.66,-0.062,0.188,0.0,5.562,8.5,-31.75
